Date,IBM,AAPL,MSFT,INTC,HPQ
1996-10-03,23.553474,0.731603,5.72506,8.675099,5.980002
1996-10-04,23.859669,0.745908,5.826532,8.865822,5.765251
1996-10-07,24.095204,0.756126,5.874595,9.100139,6.062599
1996-10-08,24.189418,0.760213,5.783808,8.860368,5.963483
1996-10-09,23.789009,0.752039,5.746422,8.794984,6.062599
1996-10-10,24.07165,0.790867,5.714382,8.707797,5.930444
1996-10-11,24.472059,0.79291,5.858572,9.187326,6.112157
1996-10-14,24.495613,0.825608,5.83721,9.383489,6.194754
1996-10-15,24.401399,0.825608,5.933343,9.688644,6.112157
1996-10-16,24.048097,0.841956,5.895958,9.819424,6.244312
1996-10-17,23.671241,0.862392,5.789147,9.655952,6.227793
1996-10-18,24.377845,0.868523,5.757107,9.590562,6.29387
1996-10-21,24.519166,0.837869,5.72506,9.394391,6.128677
1996-10-22,23.930329,0.813346,5.660974,9.198221,6.128677
1996-10-23,24.354292,0.809259,5.746422,9.536073,6.112157
1996-10-24,24.00099,0.809259,5.83721,9.372594,5.930444
1996-10-25,23.836116,0.801085,5.829198,9.187326,6.029561
1996-10-28,24.00099,0.801085,5.83721,9.241814,5.980002
1996-10-29,23.671241,0.760213,5.783808,9.100139,5.847848
1996-10-30,23.812562,0.747952,5.821187,9.311665,5.831328
1996-10-31,24.307185,0.752039,5.863911,9.584258,5.831328
1996-11-01,24.024543,0.79291,5.869257,9.486122,5.814809
1996-11-04,24.260078,0.796998,5.895958,9.627872,5.699174
1996-11-05,24.54272,0.833782,6.045493,9.944073,5.831328
1996-11-06,25.199271,0.833782,6.173666,10.369316,6.013041
1996-11-07,25.270122,0.846044,6.130941,10.652803,6.343428
1996-11-08,25.388206,0.858305,6.130941,10.66371,6.260831
1996-11-11,25.411823,0.850131,6.13628,10.80546,6.326909
1996-11-12,25.175654,0.825608,6.056177,10.554674,6.343428
1996-11-13,25.459057,0.835826,6.195028,10.423831,6.426025
1996-11-14,25.860545,0.837869,6.392626,10.456545,6.55818
1996-11-15,27.395646,0.817433,6.365925,10.10763,6.723373
1996-11-18,27.726283,0.809259,6.424673,10.064016,6.574699
1996-11-19,29.119682,0.813346,6.659657,10.532866,6.971163
1996-11-20,28.836279,0.817433,6.5475,10.543773,6.921605
1996-11-21,29.119682,0.801085,6.424673,10.369316,6.987683
1996-11-22,29.946275,0.825608,6.430012,10.685517,7.136357
1996-11-25,29.780956,0.817433,6.558185,10.598288,7.152876
1996-11-26,29.851807,0.79291,6.568869,10.794553,7.103318
1996-11-27,29.875424,0.801085,6.643633,11.045332,7.136357
1996-11-29,30.111593,0.788823,6.702381,11.067146,7.119837
1996-12-02,30.796485,0.821521,6.739766,11.088946,7.384147
1996-12-03,30.725634,0.821521,6.60892,10.979917,7.218953
1996-12-04,30.607549,0.817433,6.5475,11.296118,7.450224
1996-12-05,29.946275,0.817433,6.536822,11.187082,7.450224
1996-12-06,29.403085,0.821521,6.531484,10.96356,7.251992
1996-12-09,30.229678,0.817433,6.985428,11.350632,7.417185
1996-12-10,29.804573,0.801085,6.996112,11.263403,7.185915
1996-12-11,29.497553,0.784736,7.124285,11.939433,7.086799
1996-12-12,28.647343,0.780649,6.921341,11.939433,6.723373
1996-12-13,28.883513,0.760213,6.835893,11.546904,6.78945
1996-12-16,28.080537,0.739777,6.558185,11.099853,6.624257
